kaupunkialusta_id;ontologyword_ids
3483;577
3484;577
3485;577
3486;577
3487;577
3488;577
3489;577
3490;577
3493;577
3494;239+473+917+918
3495;869
3496;577
3497;577
3498;473
3500;490
3501;869
3503;239
3504;490
3508;490
3509;577
3510;577
3511;577
3512;864+917
3513;915
3514;577
3515;577
3516;577
3517;214+326+577
3518;577
3520;577
3522;577
3525;577
3530;577
3531;864
3532;864
3534;577
3541;864
3542;490
3545;868
3548;868+915+920+921
3549;868
3552;490
3553;214+326+914
3555;239
3556;239
3557;490
3558;239+490
3559;490
3560;239+490
3563;239+577
3565;490
3566;490
3567;490
3568;917
3569;577
3572;577
3573;239+577+864+916+917
3574;239
3575;577
3576;473
3577;473
3578;239
3579;577
3580;577
3581;577
3582;239
3583;916
3584;916
3585;868
3586;490
3588;473
3589;490
3590;490
3592;490
3593;490
3594;490
3595;490
3596;490
3597;868+915
3598;577
3599;577
3601;239
3603;577
3604;239
3606;239
3609;239
3610;239+577
3611;868
3612;473
3614;239
3615;490+868
3616;869
3617;577
3618;914
3619;917
3621;239
3624;577
3625;868
3627;577
3628;917
3629;490
3630;490
3631;961
3632;577
3633;577
3636;490
3637;490
3638;490
3639;239
3640;239
3642;490
3643;239
3644;239
3645;869
3646;915
3647;214+326+868
3648;915
3652;490
3653;577
3654;490
3655;490
3656;490
3657;868+917
3658;490
3660;490
3662;490
3665;916+918
3667;490
3669;868
3670;917
3672;490
3673;916
3674;916
3675;916
3676;916
3678;868
3679;869+919
3680;490
3682;239+490
3683;490
3684;915
3685;490
3688;577
3690;490+868
3691;577
3692;490
3696;326+577
3697;490
3698;490
3699;869+919
3700;577
3701;239
3702;239
3703;473+918
3706;490
3707;577
3708;577
3709;577
3710;473+868
3711;490+915
3712;919
3713;214+239+326
3714;868
3716;864
3717;490
3718;490
3719;868
3720;577
3722;577
3723;490
3725;577
3726;490
3727;490
3729;869
3731;868+920
3732;915
3733;915
3734;869
3735;577
3736;577
3737;239+490
3738;917
3739;326+868
3740;917
3741;490
3742;239
3743;577
3744;577
3745;577
3747;490
3748;490
3749;869
3750;239
3751;239
3753;239
3754;239
3755;577
3756;577
3757;917
3758;490
3760;577
3761;490
3762;490
3763;490
3764;490
3765;490
3766;239+490
3767;239
3771;868
3772;490
3773;915
3774;864
3775;915
3777;490
3778;239
3779;490
3780;490
3781;490
3782;577
3783;490+915
3785;239
3787;577
3788;868
3789;868+920
3793;239
3794;239+577
3797;868
3799;868+920+921
3802;490
3804;490
3805;490
3806;577
3810;915
3811;490
3812;577
3815;490
3816;915
3817;490
3818;917
3819;917
3820;869
3821;490
3822;915
3823;868+920
3824;577
3825;490
3826;490
3827;490
3828;577
3829;490
3830;490
3831;490
3832;490
3833;868
3834;239+868+915
3835;239
3836;869
3837;214+326+868
3839;490
3840;864+917
3841;917
3842;239
3843;917
3844;917
3845;917
3846;577
3847;577
3848;917
3849;869+919
3850;916
3851;577
3852;577
3853;577
3854;577
3855;868
3856;490
3859;490
3860;473
3861;577
3862;577
3863;577
3864;490
3866;577
3867;868
3868;490
3869;490
3870;239
3871;490+577
3872;577
3873;239
3874;490
3875;577
3876;914
3877;490
3879;921
3880;921
3881;921
3882;864
3883;921
3884;239
3885;864
3886;490
3887;577
3888;868
3889;920
3890;490
3891;490
3892;239+577
3895;473
3896;490
3897;239
3898;577
3899;577
3900;868
3901;864
3902;869+919
3903;473
3904;577
3905;239
3906;869
3907;490
3908;577
3909;577
3913;869
3914;869
3915;869
3916;577+869
3917;577+869
3918;577
3919;490
3920;577
3921;490
3922;577
3924;915
3926;490
3927;864
3928;577+869
3929;869
3930;577
3931;577+869
3944;490
3946;921
3947;577
3948;577
3949;868
3951;577
3952;577
3954;914
3955;868
3956;490
3957;868
3959;577
3960;577
3961;577
3962;961
3963;869+919
3964;577
3966;577
3967;577
3968;577
3969;577
3970;577
3972;577
3973;577
3974;577
3976;577
3977;917
3978;917
3979;961
3981;577
3982;577
3983;577
3984;577
3986;577
3987;239+577
3988;239+577
3989;577
3990;868
3991;914
3992;914
3993;490
3994;490
3995;490
3996;577
3997;473+918
3998;490
3999;326+916
4000;490
4002;239
4003;577
4004;490
4005;577
4006;577
4007;490
4008;917
4009;239+490
4010;473
4011;239
4012;490
4013;577
4014;914
4015;917
4016;915
4017;577
4018;914
4019;239
4020;917
4022;577
4023;914
4025;577
4026;917
4027;864
4028;864
4029;473
4030;577
4031;239
4032;490
4033;490
4035;864
4036;916
4037;917
4039;239
4040;473
4041;917
4042;577
4043;326+490
4044;915
4045;961
4046;577
4047;473
4049;869
4050;577
4052;868
4053;490
4054;490
4055;490
4056;490
4057;917+918
4058;239
4059;473
4060;917
4061;214+326+914
4062;914
4063;577
4064;577
4065;869
4066;869
4067;214+239+326+577
4068;214+326+917+918
4069;577
4070;917
4071;916
4072;473
4073;473
4074;916
4075;577
4076;577
4077;577
4078;577
4079;577
4080;868
4081;915
4082;868
4084;917
4085;577+915+920
4086;864
4087;869
4088;915
4089;869
4090;577
4091;577
4093;869
4094;864+915
4095;490
4096;577
4097;869
4098;473
4099;915
4100;490
4101;915
4102;490
4103;490
4104;490
4105;577
4106;214+326+868
4107;239
4108;577
4109;239
4110;239
4111;239+577
4112;917
4113;868
4114;577
4115;490
4117;490
4118;490
4119;577
4120;869
4121;577
4122;490
4123;577
4124;577
4125;577
4126;577
4127;577
4128;577
4129;914
4130;914
4131;869
4132;490
4133;869
4134;239
4135;490
4136;577
4137;577
4138;577
4139;577
4140;577
4141;577
4142;577
4143;577
4144;868+915
4145;917
4146;577
4147;577
4148;577
4149;577
4150;577
4151;577
4152;214+326+577
4153;490
4154;239+577
4155;577
4156;577
4157;577
4158;577
4159;577
4160;577
4161;577
4162;490
4163;577
4164;473
4165;915
4166;577
4167;239+868+915
4168;577
4169;577
4170;577
4171;577
4172;490
4173;577
4174;239
4175;490+869
4176;490
4177;490
4178;577
4179;577
4180;915
4181;490
4183;869
4184;473
4187;490
4188;490
4189;490
4190;239
4191;577
4192;920
4193;490
4194;490
4195;915
4196;915
4197;915
4198;490
4199;490
4200;490
4201;490
4202;490
4203;490
4204;490
4205;490
4206;473
4207;869
4208;473
4209;473
4210;239+868+917
4211;577
4212;577
4213;577
4214;490
4215;490
4216;490
4217;490
4218;490
4219;239
4220;577
4221;868+869
4222;915
4223;577
4224;577
4225;577
4226;577
4227;577
4228;917
4229;577
4230;577
4231;577
4232;868
4233;577
4234;577
4235;577
4236;214+326
4237;473
4238;868
4239;490
4240;869
4241;914
4242;473
4243;577
4244;490
4245;490
4246;490
4247;868
4248;490
4249;490
4250;490
4251;490
4252;914
4253;490
4254;864
4255;917
4256;917
4257;577
4259;490
4261;490+868+915
4262;239
4263;490
4264;921
4265;868+920
4266;577
4267;239
4268;868+915
4269;490
4270;239+577
4271;239
4272;239
4273;239
4274;473
4275;915
4276;917
4277;577
4278;914
4279;490
4280;326+868
4281;868
4282;868
4283;917
4284;577
4285;577
4286;868+920
4287;239
4288;239
4289;577
4290;869
4291;917
4292;490
4293;473+918
4294;577
4295;473
4296;490
4297;577+869
4298;490+869
4299;961
4300;868
4301;490
4302;917
4303;326+868
4304;577
4305;868
4306;921
4307;921
4308;490
4309;490
4310;490
4311;490
4312;577
4313;868
4314;326+868+920
4315;577
4316;577
4317;473
4318;869
4319;914
4320;577
4321;869+919
